iter	Passed	Remaining
0	165	164961
1	166	82902
2	166	55488
3	167	41754
4	168	33504
5	169	28011
6	169	24114
7	170	21163
8	171	18867
9	171	17023
10	172	15534
11	173	14281
12	174	13227
13	174	12315
14	175	11520
15	176	10829
16	176	10217
17	177	9672
18	177	9185
19	178	8746
20	179	8349
21	179	7988
22	180	7659
23	180	7357
24	181	7080
25	182	6823
26	182	6585
27	183	6364
28	183	6159
29	184	5968
30	185	5789
31	185	5621
32	186	5469
33	187	5325
34	188	5194
35	189	5062
36	189	4936
37	190	4816
38	190	4702
39	191	4595
40	192	4493
41	192	4396
42	193	4302
43	193	4214
44	194	4128
45	195	4046
46	195	3968
47	196	3893
48	196	3822
49	197	3755
50	198	3689
51	198	3626
52	199	3564
53	200	3507
54	200	3451
55	201	3399
56	202	3350
57	203	3300
58	203	3250
59	204	3202
60	205	3155
61	205	3110
62	206	3067
63	206	3025
64	207	2983
65	208	2943
66	208	2905
67	209	2867
68	209	2831
69	210	2796
70	211	2761
71	211	2728
72	212	2696
73	212	2664
74	213	2633
75	214	2604
76	214	2575
77	215	2546
78	216	2520
79	216	2494
80	217	2470
81	218	2445
82	218	2417
83	219	2392
84	219	2368
85	220	2344
86	221	2321
87	221	2298
88	222	2276
89	222	2254
90	223	2233
91	224	2212
92	224	2191
93	225	2171
94	225	2151
95	226	2132
96	227	2113
97	227	2095
98	228	2077
99	228	2060
100	229	2043
101	230	2026
102	230	2009
103	231	1995
104	232	1983
105	233	1968
106	234	1953
107	234	1937
108	235	1922
109	235	1908
110	236	1893
111	237	1879
112	237	1865
113	238	1851
114	238	1838
115	239	1824
116	239	1810
117	240	1798
118	241	1785
119	241	1774
120	242	1762
121	243	1749
122	244	1741
123	244	1729
124	245	1718
125	246	1707
126	246	1697
127	247	1687
128	248	1676
129	248	1665
130	249	1655
131	250	1644
132	250	1634
133	251	1623
134	251	1614
135	252	1604
136	253	1594
137	253	1585
138	254	1575
139	255	1566
140	255	1557
141	256	1547
142	256	1539
143	257	1530
144	257	1521
145	258	1512
146	259	1504
147	259	1495
148	260	1486
149	260	1478
150	261	1471
151	262	1464
152	263	1456
153	263	1448
154	264	1440
155	264	1433
156	265	1425
157	266	1417
158	266	1410
159	267	1403
160	267	1394
161	268	1388
162	268	1380
163	269	1374
164	270	1367
165	270	1360
166	271	1354
167	272	1347
168	272	1341
169	273	1334
170	273	1328
171	274	1321
172	275	1315
173	275	1309
174	276	1304
175	277	1299
176	278	1293
177	278	1287
178	279	1281
179	279	1275
180	280	1269
181	281	1263
182	281	1257
183	282	1252
